"","X","months_as_customer","policy_state","policy_csl","policy_deductable","policy_annual_premium","umbrella_limit","insured_sex","insured_education_level","insured_occupation","insured_hobbies","insured_relationship","capital_gains","capital_loss","incident_type","collision_type","incident_severity","authorities_contacted","incident_state","number_of_vehicles_involved","property_damage","bodily_injuries","witnesses","police_report_available","vehicle_claim","auto_make","auto_model","fraud_reported","z_of_months_as_customer"
"501",501,1,"OH","500/1000",500,854.58,0,"1","JD","craft-repair","paintball","other-relative",52200,0,"Single Vehicle Collision","Side Collision","Minor Damage","Police","SC",1,NA,2,3,"YES",55230,"Honda","CRV",0,-1.76308229712376
"502",502,26,"IN","250/500",1000,770.76,0,"2","Masters","tech-support","sleeping","husband",0,-53700,"Single Vehicle Collision","Side Collision","Major Damage","Police","WV",1,"NO",0,2,NA,34860,"Mercedes","ML350",0,-1.54590472275669
"503",503,202,"IL","100/300",2000,1132.74,0,"1","Associate","armed-forces","exercise","husband",0,-37500,"Single Vehicle Collision","Side Collision","Major Damage","Other","WV",1,"YES",1,1,"NO",56320,"Nissan","Ultima",0,-0.0169745992125301
"504",504,289,"IL","500/1000",500,1173.37,8000000,"1","PhD","handlers-cleaners","board-games","own-child",0,-42700,"Single Vehicle Collision","Front Collision","Total Loss","Other","SC",1,NA,1,0,NA,34320,"Accura","TL",0,0.738803359584867
"505",505,61,"OH","100/300",2000,1188.28,6000000,"1","JD","farming-fishing","skydiving","wife",0,-53800,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","VA",2,"YES",1,0,"NO",35880,"Ford","F150",1,-1.24185611864279
"506",506,334,"IL","100/300",1000,876.88,6000000,"2","MD","sales","reading","other-relative",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","WV",1,"NO",2,1,"NO",38220,"Jeep","Grand Cherokee",0,1.12972299344559
"507",507,12,"IL","500/1000",1000,1143.95,0,"1","PhD","tech-support","paintball","other-relative",51400,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY",3,"NO",2,1,NA,41510,"Nissan","Ultima",0,-1.66752416440225
"508",508,86,"IL","100/300",2000,1409.06,0,"2","High School","prof-specialty","yachting","husband",74200,-68100,"Single Vehicle Collision","Front Collision","Minor Damage","Police","NY",1,"NO",2,2,"YES",38720,"Accura","MDX",0,-1.02467854427573
"509",509,83,"IN","500/1000",1000,1070.63,0,"1","High School","machine-op-inspct","board-games","unmarried",0,0,"Multi-vehicle Collision","Front Collision","Total Loss","Fire","NY",3,NA,0,1,"NO",43120,"Honda","CRV",0,-1.05073985319977
"510",510,126,"IL","500/1000",2000,916.13,0,"2","College","sales","golf","unmarried",55300,-58400,"Multi-vehicle Collision","Rear Collision","Total Loss","Police","NY",3,"YES",2,0,"NO",55620,"Mercedes","E400",0,-0.677194425288417
"511",511,209,"OH","250/500",500,1191.5,0,"2","High School","priv-house-serv","reading","husband",38600,-52900,"Single Vehicle Collision","Rear Collision","Total Loss","Police","WV",1,"NO",2,0,NA,62300,"Audi","A3",0,0.043835121610249
"512",512,283,"OH","500/1000",1000,1474.66,0,"1","JD","sales","paintball","husband",0,-46200,"Parked Car",NA,"Trivial Damage","Police","NY",1,NA,2,3,"NO",4920,"Volkswagen","Jetta",0,0.686680741736771
"513",513,194,"IL","250/500",1000,1193.45,0,"2","JD","other-service","hiking","not-in-family",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","WV",1,NA,2,1,"YES",41160,"Nissan","Pathfinder",0,-0.0864714230099919
"514",514,184,"IL","250/500",1000,1437.53,0,"1","College","transport-moving","chess","not-in-family",0,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Ambulance","PA",3,NA,0,2,"NO",35820,"Dodge","RAM",1,-0.173342452756819
"515",515,479,"IL","100/300",2000,1304.83,0,"1","College","other-service","cross-fit","husband",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","NY",1,"NO",0,0,"NO",45450,"Honda","Civic",0,2.38935292477459
"516",516,284,"OH","250/500",1000,1168.8,0,"1","JD","tech-support","movies","other-relative",0,-42400,"Single Vehicle Collision","Side Collision","Total Loss","Other","NY",1,NA,0,3,"YES",26000,"Mercedes","E400",0,0.695367844711453
"517",517,65,"IN","100/300",1000,1164.97,0,"1","College","adm-clerical","exercise","wife",43000,-42500,"Single Vehicle Collision","Front Collision","Total Loss","Ambulance","WV",1,NA,1,2,"YES",32130,"Chevrolet","Silverado",0,-1.20710770674406
"518",518,222,"IL","250/500",1000,1232.72,0,"2","High School","armed-forces","hiking","own-child",87800,-51200,"Multi-vehicle Collision","Front Collision","Major Damage","Fire","SC",3,NA,1,0,"NO",58640,"Jeep","Wrangler",1,0.156767460281124
"519",519,196,"IL","250/500",2000,1800.76,0,"2","JD","protective-serv","camping","other-relative",0,-78600,"Multi-vehicle Collision","Rear Collision","Minor Damage","Ambulance","SC",3,"NO",1,0,"NO",38240,"Jeep","Grand Cherokee",0,-0.0690972170606265
"520",520,253,"IL","500/1000",500,1187.01,7000000,"1","Associate","tech-support","exercise","unmarried",46300,-33000,"Vehicle Theft",NA,"Trivial Damage","Police","NY",1,"NO",0,1,NA,2560,"Chevrolet","Tahoe",0,0.426067652496289
"521",521,280,"IN","100/300",1000,1559.34,0,"2","JD","transport-moving","hiking","own-child",0,-51600,"Single Vehicle Collision","Front Collision","Total Loss","Fire","NY",1,"NO",0,2,NA,56000,"Accura","RSX",0,0.660619432812723
"522",522,5,"IL","250/500",2000,1137.02,0,"1","PhD","farming-fishing","skydiving","not-in-family",31500,0,"Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","WV",1,"YES",1,3,NA,56070,"Audi","A5",0,-1.72833388522503
"523",523,220,"IN","100/300",1000,1281.72,0,"2","College","farming-fishing","hiking","other-relative",33500,-49500,"Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","SC",4,"NO",0,2,"YES",39060,"Honda","Civic",0,0.139393254331759
"524",524,85,"OH","100/300",1000,796.35,0,"1","MD","craft-repair","video-games","own-child",72400,-77000,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","SC",3,"YES",2,1,"YES",42880,"Ford","F150",0,-1.03336564725041
"525",525,266,"OH","250/500",500,1270.02,0,"1","Associate","tech-support","skydiving","own-child",0,-45800,"Parked Car",NA,"Minor Damage","Police","NC",1,"NO",1,2,NA,1440,"Toyota","Corolla",0,0.538999991167164
"526",526,41,"IL","100/300",1000,1383.13,0,"1","JD","prof-specialty","exercise","own-child",46700,0,"Vehicle Theft",NA,"Trivial Damage","Police","SC",1,"YES",1,1,NA,5300,"Jeep","Grand Cherokee",0,-1.41559817813645
"527",527,316,"IL","100/300",2000,1290.74,5000000,"1","High School","prof-specialty","kayaking","husband",58300,0,"Multi-vehicle Collision","Side Collision","Major Damage","Ambulance","VA",3,"NO",2,0,"YES",57360,"Suburu","Legacy",0,0.973355139901301
"528",528,285,"IN","100/300",1000,1216.68,0,"1","Masters","sales","basketball","other-relative",55100,0,"Vehicle Theft",NA,"Trivial Damage","Police","SC",1,"NO",1,1,"NO",2100,"Ford","F150",0,0.704054947686136
"529",529,379,"IL","100/300",500,1251.16,0,"1","Associate","machine-op-inspct","kayaking","not-in-family",41400,0,"Single Vehicle Collision","Front Collision","Total Loss","Ambulance","WV",1,NA,0,1,"NO",63300,"Jeep","Grand Cherokee",0,1.52064262730631
"530",530,15,"IN","250/500",2000,1586.41,0,"1","High School","sales","video-games","other-relative",33500,-58900,"Single Vehicle Collision","Front Collision","Major Damage","Police","WV",1,"YES",1,3,NA,54960,"BMW","X5",1,-1.6414628554782
"531",531,354,"IL","500/1000",2000,1526.11,5000000,"1","Masters","sales","exercise","unmarried",0,0,"Single Vehicle Collision","Front Collision","Minor Damage","Police","SC",1,NA,2,3,"YES",60160,"Chevrolet","Malibu",0,1.30346505293924
"532",532,342,"IN","100/300",1000,1028.44,0,"1","College","prof-specialty","dancing","not-in-family",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Ambulance","SC",1,NA,0,0,"NO",58880,"Accura","MDX",0,1.19921981724305
"533",533,169,"IL","100/300",1000,1555.94,0,"2","PhD","craft-repair","skydiving","own-child",23300,0,"Multi-vehicle Collision","Front Collision","Total Loss","Other","VA",3,"NO",1,3,"YES",59310,"Mercedes","C300",0,-0.30364899737706
"534",534,339,"IN","500/1000",2000,1570.77,0,"2","JD","adm-clerical","paintball","not-in-family",98800,-65300,"Vehicle Theft",NA,"Minor Damage","None","SC",1,"NO",0,3,"NO",4960,"Mercedes","ML350",0,1.173158508319
"535",535,259,"OH","100/300",2000,1170.53,0,"1","PhD","armed-forces","sleeping","wife",65000,-49200,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","WV",3,"NO",1,2,"YES",45520,"Nissan","Pathfinder",0,0.478190270344385
"536",536,65,"OH","250/500",1000,1099.95,0,"1","College","sales","dancing","wife",0,-71900,"Single Vehicle Collision","Side Collision","Major Damage","Other","NY",1,"NO",1,0,"YES",39300,"Accura","MDX",1,-1.20710770674406
"537",537,254,"IL","250/500",2000,1472.43,0,"2","MD","tech-support","basketball","husband",0,-90600,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","WV",3,NA,1,3,"YES",46240,"Volkswagen","Jetta",0,0.434754755470972
"538",538,440,"IL","250/500",500,1275.62,0,"1","Associate","priv-house-serv","reading","other-relative",0,-56200,"Multi-vehicle Collision","Side Collision","Minor Damage","Police","NY",3,"YES",2,1,"NO",49120,"Nissan","Ultima",0,2.05055590876196
"539",539,478,"IL","250/500",1000,1292.3,0,"2","High School","adm-clerical","paintball","own-child",47600,0,"Parked Car",NA,"Minor Damage","None","VA",1,"YES",1,3,"NO",3290,"Dodge","Neon",1,2.3806658217999
"540",540,230,"IN","250/500",2000,1009.37,0,"1","College","prof-specialty","hiking","other-relative",45400,-39400,"Single Vehicle Collision","Front Collision","Total Loss","Fire","SC",1,"NO",0,2,"YES",47180,"BMW","X5",0,0.226264284078586
"541",541,138,"OH","500/1000",500,1093.07,4000000,"1","PhD","other-service","reading","wife",27700,-72400,"Single Vehicle Collision","Front Collision","Major Damage","Other","VA",1,NA,2,2,"NO",62370,"Volkswagen","Jetta",0,-0.572949189592225
"542",542,239,"OH","250/500",1000,1325.44,7000000,"1","JD","farming-fishing","paintball","other-relative",51400,-6300,"Parked Car",NA,"Trivial Damage","Police","NC",1,NA,0,2,"YES",8300,"Mercedes","E400",0,0.304448210850731
"543",543,93,"IL","100/300",2000,1017.18,0,"1","MD","prof-specialty","paintball","husband",0,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Police","NC",3,"YES",1,3,"NO",30590,"Saab","92x",0,-0.963868823452947
"544",544,37,"OH","100/300",1000,1221.17,0,"1","Masters","protective-serv","golf","not-in-family",49300,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Ambulance","SC",3,"YES",0,0,"YES",34020,"Suburu","Impreza",0,-1.45034659003518
"545",545,254,"IN","100/300",500,1927.87,0,"2","MD","prof-specialty","yachting","husband",0,0,"Single Vehicle Collision","Front Collision","Minor Damage","Fire","VA",1,"YES",0,1,NA,37870,"Honda","Civic",1,0.434754755470972
"546",546,131,"IN","250/500",1000,978.27,0,"1","Associate","sales","paintball","own-child",65700,0,"Single Vehicle Collision","Front Collision","Major Damage","Fire","SC",1,NA,1,3,"NO",53480,"Suburu","Forrestor",0,-0.633758910415004
"547",547,230,"IN","100/300",2000,1221.14,0,"2","MD","prof-specialty","board-games","wife",48100,0,"Single Vehicle Collision","Side Collision","Total Loss","Ambulance","VA",1,NA,0,2,NA,48020,"Audi","A5",0,0.226264284078586
"548",548,313,"OH","100/300",2000,1255.62,0,"2","MD","armed-forces","polo","unmarried",0,0,"Multi-vehicle Collision","Side Collision","Major Damage","Other","OH",3,"YES",2,1,"YES",48300,"Ford","F150",1,0.947293830977252
"549",549,210,"IN","250/500",500,999.52,0,"2","JD","tech-support","golf","other-relative",0,0,"Vehicle Theft",NA,"Minor Damage","Police","VA",1,NA,1,2,"NO",6480,"Accura","TL",0,0.0525222245849317
"550",550,101,"OH","250/500",500,1380.89,0,"2","PhD","armed-forces","dancing","own-child",30000,-53000,"Multi-vehicle Collision","Rear Collision","Minor Damage","Ambulance","SC",3,NA,2,1,NA,42770,"BMW","X6",0,-0.894371999655485
"551",551,153,"IN","500/1000",500,1010.77,0,"2","High School","transport-moving","basketball","unmarried",52300,-55600,"Multi-vehicle Collision","Side Collision","Total Loss","Ambulance","NC",3,NA,0,3,"NO",34000,"Volkswagen","Jetta",0,-0.442642644971984
"552",552,337,"OH","100/300",500,1205.86,0,"2","Associate","armed-forces","basketball","wife",0,-34600,"Single Vehicle Collision","Rear Collision","Minor Damage","Fire","SC",1,"YES",0,1,"NO",64800,"Accura","RSX",0,1.15578430236964
"553",553,360,"IL","500/1000",1000,1526.61,0,"2","Masters","handlers-cleaners","chess","not-in-family",0,-32900,"Vehicle Theft",NA,"Minor Damage","Police","SC",1,"YES",2,2,NA,2940,"Dodge","RAM",1,1.35558767078734
"554",554,428,"IL","100/300",1000,1496.44,0,"1","High School","tech-support","camping","unmarried",0,0,"Parked Car",NA,"Trivial Damage","Police","NC",1,"YES",2,2,"NO",5040,"Honda","CRV",0,1.94631067306577
"555",555,204,"IL","100/300",500,1256.2,0,"1","JD","sales","hiking","not-in-family",0,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Other","SC",3,"YES",1,2,"YES",25020,"Saab","95",0,0.000399606736835338
"556",556,364,"IL","100/300",500,1268.35,0,"2","Masters","transport-moving","board-games","wife",0,0,"Single Vehicle Collision","Rear Collision","Major Damage","Other","NY",1,"YES",2,1,"NO",49210,"Volkswagen","Jetta",1,1.39033608268607
"557",557,185,"IN","500/1000",2000,1421.59,0,"2","College","other-service","sleeping","own-child",0,0,"Vehicle Theft",NA,"Trivial Damage","Police","WV",1,NA,2,3,"YES",3600,"Ford","F150",0,-0.164655349782136
"558",558,63,"IL","500/1000",500,1500.04,6000000,"2","PhD","craft-repair","polo","own-child",0,-36500,"Vehicle Theft",NA,"Minor Damage","Police","NC",1,"NO",0,2,"YES",3440,"Accura","TL",0,-1.22448191269343
"559",559,210,"IL","100/300",500,1433.24,0,"1","College","exec-managerial","yachting","not-in-family",0,-19500,"Multi-vehicle Collision","Side Collision","Total Loss","Fire","WV",3,"NO",2,1,NA,19110,"Saab","95",1,0.0525222245849317
"560",560,194,"IN","100/300",2000,1231.25,0,"1","PhD","craft-repair","movies","not-in-family",46500,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Ambulance","WV",3,NA,1,0,NA,39040,"Toyota","Camry",0,-0.0864714230099919
"561",561,294,"IN","500/1000",500,1135.43,0,"2","Masters","farming-fishing","bungie-jumping","own-child",22700,0,"Multi-vehicle Collision","Side Collision","Total Loss","Police","WV",3,"YES",1,1,"YES",35100,"Chevrolet","Malibu",0,0.782238874458281
"562",562,272,"OH","250/500",2000,945.73,5000000,"2","MD","protective-serv","chess","wife",38600,-42800,"Single Vehicle Collision","Front Collision","Minor Damage","Fire","NY",1,"NO",0,0,"NO",58870,"Ford","Escape",1,0.591122609015261
"563",563,27,"IN","100/300",2000,1118.76,0,"1","College","adm-clerical","dancing","own-child",0,-55800,"Single Vehicle Collision","Front Collision","Total Loss","Fire","NY",1,NA,1,3,NA,47880,"Ford","Fusion",0,-1.53721761978201
"564",564,251,"IN","500/1000",2000,1231.98,0,"1","Associate","other-service","hiking","not-in-family",0,-31700,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","NY",1,"YES",0,0,NA,33180,"Dodge","RAM",0,0.408693446546923
"565",565,180,"IN","500/1000",2000,1005.47,0,"1","JD","protective-serv","hiking","own-child",58100,-49000,"Multi-vehicle Collision","Rear Collision","Minor Damage","Ambulance","VA",4,NA,2,3,"YES",40390,"Jeep","Grand Cherokee",0,-0.20809086465555
"566",566,392,"OH","100/300",2000,1108.97,0,"1","PhD","exec-managerial","exercise","not-in-family",68400,-66800,"Single Vehicle Collision","Side Collision","Minor Damage","Other","WV",1,"NO",2,2,"YES",74790,"Saab","92x",0,1.63357496597719
"567",567,143,"IN","100/300",500,1392.39,5000000,"1","High School","exec-managerial","dancing","unmarried",0,-65700,"Single Vehicle Collision","Rear Collision","Minor Damage","Fire","SC",1,"NO",2,0,"YES",38010,"Toyota","Highlander",0,-0.529513674718811
"568",568,371,"IN","100/300",2000,1317.97,0,"2","High School","craft-repair","movies","wife",34700,-81000,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","SC",3,NA,1,2,NA,21520,"Ford","Fusion",1,1.45114580350885
"569",569,292,"IN","250/500",1000,1588.22,0,"2","JD","machine-op-inspct","camping","other-relative",0,-53800,"Multi-vehicle Collision","Rear Collision","Total Loss","Other","WV",3,"YES",1,1,"NO",59220,"Chevrolet","Malibu",0,0.764864668508915
"570",570,165,"IL","250/500",500,900.02,6000000,"2","College","craft-repair","camping","own-child",0,-49900,"Single Vehicle Collision","Front Collision","Total Loss","Other","SC",1,"NO",1,3,"YES",55760,"BMW","3 Series",0,-0.338397409275791
"571",571,158,"OH","100/300",1000,1744.64,3000000,"2","JD","prof-specialty","movies","unmarried",0,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","WV",3,"NO",0,1,"NO",25480,"Volkswagen","Jetta",0,-0.39920713009857
"572",572,241,"OH","250/500",1000,1260.56,0,"1","JD","adm-clerical","paintball","own-child",0,-54900,"Multi-vehicle Collision","Side Collision","Minor Damage","Police","SC",3,"NO",0,2,"YES",28140,"Jeep","Wrangler",0,0.321822416800096
"573",573,103,"OH","500/1000",2000,1021.14,0,"1","Masters","other-service","paintball","wife",69500,-47700,"Multi-vehicle Collision","Side Collision","Major Damage","Ambulance","NY",3,"NO",2,3,NA,50330,"Dodge","RAM",0,-0.87699779370612
"574",574,402,"OH","250/500",2000,1285.09,0,"2","JD","farming-fishing","board-games","not-in-family",48000,-79600,"Single Vehicle Collision","Rear Collision","Major Damage","Other","NY",1,"NO",0,2,"YES",45180,"Mercedes","ML350",1,1.72044599572402
"575",575,102,"OH","100/300",500,1537.07,3000000,"2","JD","tech-support","chess","wife",0,0,"Single Vehicle Collision","Side Collision","Total Loss","Other","OH",1,"NO",1,0,"NO",33180,"Chevrolet","Silverado",1,-0.885684896680803
"576",576,182,"IN","100/300",1000,1022.42,0,"2","PhD","other-service","skydiving","husband",50000,-56900,"Single Vehicle Collision","Front Collision","Total Loss","Other","SC",1,"YES",0,2,NA,49770,"Audi","A3",0,-0.190716658706185
"577",577,282,"OH","100/300",2000,1558.86,0,"2","MD","other-service","dancing","wife",51100,-75100,"Single Vehicle Collision","Front Collision","Minor Damage","Police","NY",1,NA,2,2,"NO",48580,"BMW","M5",0,0.677993638762088
"578",578,222,"OH","500/1000",500,1757.87,0,"2","High School","transport-moving","board-games","not-in-family",71400,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Other","SC",3,"YES",2,1,NA,40000,"Saab","93",1,0.156767460281124
"579",579,415,"IN","250/500",1000,973.5,0,"2","PhD","machine-op-inspct","polo","not-in-family",50400,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Police","WV",2,"YES",1,3,"YES",35370,"Toyota","Highlander",0,1.83337833439489
"580",580,51,"OH","500/1000",500,1430.8,0,"2","PhD","machine-op-inspct","camping","unmarried",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Fire","NY",1,NA,2,3,"NO",38520,"Honda","Civic",1,-1.32872714838962
"581",581,255,"IL","500/1000",500,1192.27,0,"2","High School","sales","base-jumping","own-child",0,-40200,"Single Vehicle Collision","Front Collision","Total Loss","Other","NC",1,"NO",2,0,"YES",42840,"Ford","Fusion",0,0.443441858445654
"582",582,143,"IL","250/500",500,1163.83,0,"2","Associate","protective-serv","movies","husband",37700,0,"Multi-vehicle Collision","Side Collision","Major Damage","Other","NC",4,"YES",2,0,NA,55360,"Audi","A5",0,-0.529513674718811
"583",583,130,"OH","500/1000",1000,1003.15,0,"1","JD","farming-fishing","movies","other-relative",0,-38500,"Multi-vehicle Collision","Front Collision","Minor Damage","Ambulance","SC",2,"YES",2,1,"NO",58860,"Ford","Fusion",0,-0.642446013389686
"584",584,242,"OH","250/500",2000,1153.54,6000000,"2","Masters","protective-serv","polo","unmarried",0,-57000,"Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","NY",3,"NO",0,1,NA,43330,"Toyota","Corolla",0,0.330509519774779
"585",585,96,"IL","100/300",1000,1631.1,0,"1","High School","priv-house-serv","exercise","wife",0,0,"Parked Car",NA,"Trivial Damage","Police","WV",1,NA,1,2,"NO",4690,"Nissan","Pathfinder",0,-0.937807514528899
"586",586,180,"IL","500/1000",1000,1252.48,0,"2","MD","machine-op-inspct","yachting","wife",0,-55800,"Vehicle Theft",NA,"Minor Damage","None","OH",1,NA,1,3,"NO",3570,"Chevrolet","Malibu",0,-0.20809086465555
"587",587,150,"IN","100/300",1000,1677.26,0,"2","College","sales","yachting","own-child",40100,0,"Vehicle Theft",NA,"Trivial Damage","Police","WV",1,"YES",1,3,"YES",3570,"Volkswagen","Jetta",0,-0.468703953896032
"588",588,463,"IL","250/500",1000,979.73,0,"1","JD","exec-managerial","yachting","not-in-family",51700,0,"Multi-vehicle Collision","Front Collision","Major Damage","Other","SC",2,NA,1,2,"NO",50680,"Chevrolet","Tahoe",1,2.25035927717966
"589",589,472,"IN","250/500",500,989.24,0,"2","Masters","other-service","skydiving","not-in-family",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Fire","NY",1,"NO",2,3,"NO",49630,"Mercedes","ML350",0,2.32854320395181
"590",590,75,"IL","500/1000",1000,1389.86,0,"1","Associate","priv-house-serv","hiking","husband",0,0,"Multi-vehicle Collision","Side Collision","Total Loss","Other","WV",2,NA,2,3,"YES",52080,"Saab","93",0,-1.12023667699724
"591",591,193,"OH","100/300",500,1233.85,0,"1","College","handlers-cleaners","chess","husband",0,0,"Multi-vehicle Collision","Side Collision","Total Loss","Ambulance","PA",3,NA,2,1,"YES",49980,"Ford","Escape",0,-0.0951585259846746
"592",592,43,"IL","500/1000",500,1320.39,0,"1","Associate","armed-forces","yachting","not-in-family",0,0,"Single Vehicle Collision","Rear Collision","Major Damage","Ambulance","WV",1,NA,2,1,NA,50890,"Honda","CRV",1,-1.39822397218708
"593",593,253,"IN","100/300",1000,1435.09,0,"1","College","machine-op-inspct","bungie-jumping","not-in-family",36600,0,"Single Vehicle Collision","Rear Collision","Total Loss","Police","SC",1,"NO",2,0,NA,44030,"Chevrolet","Tahoe",0,0.426067652496289
"594",594,152,"IN","500/1000",500,1448.54,0,"1","JD","craft-repair","polo","wife",58600,0,"Single Vehicle Collision","Side Collision","Major Damage","Fire","VA",1,"YES",1,1,NA,69210,"Toyota","Highlander",1,-0.451329747946666
"595",595,160,"OH","250/500",500,1733.56,0,"2","High School","sales","sleeping","wife",0,-43800,"Multi-vehicle Collision","Side Collision","Major Damage","Fire","SC",3,"NO",2,1,"YES",44520,"Mercedes","ML350",0,-0.381832924149205
"596",596,56,"IN","100/300",500,1533.07,0,"2","JD","farming-fishing","exercise","own-child",0,-28800,"Single Vehicle Collision","Rear Collision","Major Damage","Police","NC",1,"YES",1,2,"YES",52000,"Ford","Escape",0,-1.28529163351621
"597",597,286,"IL","100/300",500,1106.77,0,"1","College","prof-specialty","golf","other-relative",45500,-62500,"Parked Car",NA,"Trivial Damage","Police","WV",1,NA,2,0,"NO",4000,"Dodge","RAM",0,0.712742050660819
"598",598,3,"IL","100/300",500,995.7,5000000,"1","JD","priv-house-serv","chess","unmarried",0,0,"Parked Car",NA,"Trivial Damage","Police","PA",1,NA,2,1,NA,3500,"Mercedes","E400",1,-1.74570809117439
"599",599,286,"IL","250/500",1000,1298.85,6000000,"1","High School","sales","camping","other-relative",71300,-70300,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","NY",3,NA,1,3,"YES",36300,"Saab","92x",0,0.712742050660819
"600",600,239,"OH","250/500",1000,1276.73,5000000,"1","Masters","handlers-cleaners","bungie-jumping","other-relative",0,0,"Multi-vehicle Collision","Front Collision","Major Damage","Police","WV",3,"NO",1,3,NA,48160,"Saab","93",0,0.304448210850731
"601",601,64,"OH","250/500",2000,1202.28,0,"2","High School","exec-managerial","cross-fit","other-relative",0,-61400,"Single Vehicle Collision","Side Collision","Minor Damage","Ambulance","VA",1,NA,1,2,"NO",34960,"Nissan","Pathfinder",1,-1.21579480971875
"602",602,98,"IN","100/300",500,671.92,0,"2","Masters","machine-op-inspct","bungie-jumping","wife",0,-26400,"Single Vehicle Collision","Front Collision","Minor Damage","Other","NC",1,NA,2,0,NA,49840,"Ford","Escape",0,-0.920433308579534
"603",603,16,"IL","250/500",1000,1358.03,0,"2","JD","sales","chess","own-child",59300,-31400,"Single Vehicle Collision","Rear Collision","Total Loss","Other","SC",1,"NO",2,1,NA,35000,"Volkswagen","Jetta",1,-1.63277575250352
"604",604,70,"IN","250/500",1000,1008.79,4000000,"1","Masters","adm-clerical","video-games","own-child",46000,0,"Vehicle Theft",NA,"Trivial Damage","Police","WV",1,"NO",2,3,NA,3850,"Toyota","Camry",0,-1.16367219187065
"605",605,75,"OH","100/300",1000,1141.1,0,"2","JD","armed-forces","movies","other-relative",0,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Police","SC",2,NA,0,1,"YES",53730,"Toyota","Highlander",0,-1.12023667699724
"606",606,246,"OH","100/300",1000,1397,0,"2","High School","machine-op-inspct","reading","not-in-family",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Other","NY",1,"NO",1,0,"NO",48020,"Accura","MDX",0,0.36525793167351
"607",607,110,"OH","500/1000",1000,1664.66,0,"1","Associate","priv-house-serv","golf","own-child",0,-66200,"Single Vehicle Collision","Side Collision","Total Loss","Ambulance","SC",1,NA,0,3,NA,46000,"Audi","A3",0,-0.816188072883341
"608",608,236,"IN","250/500",1000,1151.39,4000000,"1","Masters","exec-managerial","reading","wife",0,-63900,"Parked Car",NA,"Minor Damage","Police","NY",1,"YES",0,0,NA,6090,"Accura","RSX",0,0.278386901926683
"609",609,267,"OH","100/300",2000,1546.01,0,"1","MD","adm-clerical","polo","wife",0,0,"Multi-vehicle Collision","Front Collision","Total Loss","Police","VA",4,"NO",2,1,NA,53970,"Volkswagen","Jetta",0,0.547687094141847
"610",610,463,"IL","250/500",500,1063.67,0,"2","Masters","priv-house-serv","dancing","wife",0,0,"Single Vehicle Collision","Front Collision","Minor Damage","Police","NY",1,"NO",2,0,"YES",46200,"Dodge","Neon",0,2.25035927717966
"611",611,303,"IN","100/300",1000,709.14,0,"2","Masters","machine-op-inspct","kayaking","husband",0,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","NY",3,"NO",1,0,"NO",39920,"Toyota","Corolla",0,0.860422801230425
"612",612,137,"IL","250/500",500,1039.55,0,"2","MD","exec-managerial","kayaking","unmarried",55600,-59700,"Multi-vehicle Collision","Front Collision","Minor Damage","Other","WV",3,NA,2,1,NA,53840,"Chevrolet","Tahoe",0,-0.581636292566907
"613",613,56,"IL","250/500",500,1339.39,0,"1","Associate","adm-clerical","chess","not-in-family",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Other","NY",1,NA,1,2,"YES",39130,"BMW","X5",0,-1.28529163351621
"614",614,75,"IN","250/500",1000,1202.75,0,"2","High School","handlers-cleaners","board-games","not-in-family",57900,-90100,"Multi-vehicle Collision","Front Collision","Minor Damage","Police","SC",3,"NO",0,2,"YES",59670,"Volkswagen","Passat",0,-1.12023667699724
"615",615,131,"IL","100/300",2000,1081.17,0,"2","MD","sales","yachting","wife",0,-65200,"Parked Car",NA,"Minor Damage","Police","NY",1,NA,0,1,"NO",3920,"Toyota","Camry",0,-0.633758910415004
